STT,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
1,22,Male,Electronics And Communication,1,8,1,1,YES
2,21,Female,Computer Science,0,7,1,1,YES
3,22,Female,Information Technology,1,6,0,0,YES
4,21,Male,Information Technology,0,8,0,1,YES
5,22,Male,Mechanical,0,8,1,0,YES
6,22,Male,Electronics And Communication,0,6,0,0,NO
7,21,Male,Computer Science,0,7,0,1,NO
8,21,Male,Information Technology,1,7,0,0,NO
9,21,Male,Computer Science,2,6,0,0,YES
10,21,Female,Computer Science,1,6,1,0,NO
11,22,Male,Computer Science,1,7,0,0,NO
12,22,Female,Electrical,1,8,0,1,YES
13,21,Female,Computer Science,2,6,1,1,NO
14,21,Male,Computer Science,1,8,0,1,YES
15,21,Female,Electronics And Communication,2,8,0,0,YES
16,22,Male,Mechanical,0,8,1,0,YES
17,22,Female,Computer Science,1,7,1,0,NO
18,21,Male,Civil,0,6,0,0,NO
19,21,Male,Computer Science,1,7,0,0,NO
20,22,Male,Computer Science,1,7,0,0,NO
21,22,Male,Civil,0,8,0,0,YES
22,21,Male,Computer Science,1,6,0,0,NO
23,22,Male,Civil,0,7,0,0,NO
24,22,Male,Electronics And Communication,1,7,0,1,NO
25,22,Male,Electronics And Communication,0,7,0,0,NO
26,21,Male,Electrical,0,8,1,0,YES
27,22,Male,Electrical,1,8,0,0,YES
28,22,Male,Information Technology,1,8,0,0,YES
29,22,Male,Information Technology,1,8,0,0,YES
30,21,Male,Information Technology,0,6,0,0,YES
31,22,Male,Mechanical,1,8,1,0,YES
32,21,Male,Electrical,1,7,0,0,YES
33,21,Female,Civil,1,7,0,0,NO
34,21,Male,Electrical,0,7,0,0,NO
35,21,Male,Computer Science,1,6,0,0,YES
36,21,Male,Information Technology,1,6,0,0,NO
37,22,Male,Civil,0,7,0,0,YES
38,22,Male,Computer Science,1,8,0,0,YES
39,22,Male,Information Technology,1,6,0,0,NO
40,22,Male,Electronics And Communication,0,8,0,1,YES
41,22,Male,Electrical,1,6,0,1,NO
42,22,Male,Civil,0,8,1,0,YES
43,21,Male,Electrical,1,7,1,1,YES
44,21,Male,Electrical,1,7,0,0,YES
45,22,Female,Information Technology,2,8,0,0,YES
46,21,Female,Electronics And Communication,3,6,0,0,YES
47,22,Male,Computer Science,1,8,0,0,YES
48,21,Male,Electronics And Communication,1,7,0,1,YES
49,21,Male,Information Technology,2,7,0,0,YES
