Date,Open,PVolume,SVolume,Close
15/03,73500,1489100,1197400,75400
16/03,75500,994200,1278600,74600
17/03,74600,1049500,930400,75000
18/03,75000,1343200,1490400,74000
19/03,73500,2177000,2097500,71700
22/03,71500,2251700,2307200,69400
23/03,69300,943300,926500,70000
24/03,69400,1381000,1386400,67100
25/03,67200,1498300,1146100,67300
26/03,67300,1265500,1172300,66900
29/03,68500,1827700,1576900,70400
30/03,70800,1137900,1522400,68400
31/03,68400,1070800,1064700,67500
01/04,67500,1038900,1046200,69100
02/04,70000,406200,968200,68800
05/04,69000,844600,905000,68800
06/04,69000,1193600,1389400,69700
07/04,70000,1497900,1966900,70900
08/04,71900,522700,1024200,70300
09/04,69900,636100,755700,70200
12/04,70200,915100,1228700,69400
13/04,69000,1207600,1310900,68100
14/04,68000,1187300,834800,68900
15/04,69000,612000,641400,69000
16/04,69000,744200,1043700,68800
19/04,69000,1934500,2092700,71700
20/04,72000,1220800,2277200,69900
22/04,69500,1519100,1674500,68000
23/04,67200,1239600,893000,69000
26/04,69000,762800,864000,68500
27/04,68800,754100,1001600,68700
28/04,68600,1342600,2413300,70000
29/04,70000,686900,1437600,69800
04/05,69000,4011400,3493500,74600
05/05,75200,1262500,2184800,75000
06/05,75000,1822700,2113400,75700
07/05,67600,3487300,3093000,68400
10/05,68400,1570400,1757100,69800
11/05,68900,1176200,1283100,68300
12/05,68000,1856200,1844200,69900
13/05,68800,2064300,2340600,67900
14/05,69000,2244500,2123800,66800
17/05,66800,2753300,3043900,67000
18/05,66200,1339100,1366800,66600
19/05,66100,1983700,2149600,67500
20/05,67400,1032000,1479900,66900
21/05,67200,4436000,5259700,70400
24/05,71000,1498300,1952900,70800
25/05,70800,1923600,2809400,71700
26/05,71400,2032700,2638200,71900
27/05,71900,1224100,147980,71500
28/05,71500,1431400,1315300,71200
31/05,71900,1781800,2374400,71700
01/06,71700,1189500,1612600,71000
02/06,70200,2251200,1910200,71700
03/06,72000,3649800,2931700,74800
04/06,75000,1011400,1323900,74400
07/06,74500,2670000,2096800,73000
08/06,72000,2247900,1901800,71000
09/06,70400,2479500,1653900,71000
10/06,70600,2183600,1690800,72800
11/06,72700,1930700,2364100,72600
14/06,72600,2355100,3081800,74500
15/06,74800,5224100,4176200,79600
16/06,80500,1835200,2307600,81000
17/06,79700,1595600,1712100,81800
18/06,81700,940600,1030600,81600
06/01,80500,1656500,1355900,81300
22/06,82000,1025600,1361300,81200
23/06,80500,1965600,1710300,79500
24/06,79500,1423000,1349500,79400
25/06,79400,1458900,1080200,81000
28/06,81500,1686600,1544000,83000
29/06,83000,864300,978600,82400
30/06,82000,1027100,851300,81600
01/07,82000,1525400,1836400,83200
02/07,83200,1083900,977000,83200
05/07,83400,1181500,1462700,83700
06/07,85000,2079100,2495700,78000
07/07,79500,3325100,2075700,83400
08/07,84400,1872200,1891400,83500
09/07,83400,4028200,3791000,87900
12/07,87400,4543700,4758700,82200
13/07,83000,3045700,2436100,81000
14/07,80900,2854100,2593900,78000
15/07,76600,2313900,1625100,80800
16/07,81000,1696400,1871500,82100
19/07,80000,2509500,2014300,79300
20/07,80500,1838300,1619100,81400
21/07,82900,1204000,1916000,82000
22/07,82600,3858100,4776200,86400
23/07,86500,8827800,6944000,92400
26/07,92200,2648800,3250900,96500
27/07,97500,3397900,3636500,93000
28/07,92000,3144900,2403800,93700
29/07,94100,2291100,2084500,96000
30/07,96000,1882400,1601200,95500
02/08,95500,3125700,3401500,97100
03/08,97700,2314800,2244800,96900
04/08,97100,2179800,2493000,99500
05/08,98200,1291600,1768600,99600
06/08,99000,1961500,2021500,97800
09/08,97000,1689200,1701900,98500
10/08,98800,2750100,3028800,101700
